Gene	Probe_ID	HMLE__pWZL__rep1	HMLE__pWZL__rep2	HMLE__pWZL__rep3	HMLE__TGFb__rep1	HMLE__TGFb__rep2	HMLE__TGFb__rep3	HMLE__Twist__rep1	HMLE__Twist__rep2	HMLE__Twist__rep3	HMLE__Gsc__rep1	HMLE__Gsc__rep2	HMLE__Gsc__rep3	HMLE__Snail__rep1	HMLE__Snail__rep2	HMLE__Snail__rep3	HMLE__shGFP__rep1	HMLE__shGFP_rep2	HMLE__shGFP_rep3	HMLE__shEcad__rep1	HMLE__shEcad__rep2	HMLE__shEcad__rep3
SPATA5L1	215694_at	4.89878704258595	5.00254673375444	4.89229868950445	4.99094960816086	4.99649239530086	4.91747749984165	4.86755341653571	4.95832383567481	5.02161997871193	4.71494312972799	5.1006430844427	4.84403919083659	4.81651490193648	4.90125492307277	4.76937580104809	5.37717810778536	5.28050371638712	5.25593667879778	5.2030120596288	5.01644456415527	4.95724777740229
SPC25	209891_at	8.79368815285846	8.78100937807779	8.69080999692641	8.55704271518675	8.66184301224507	8.62260140793595	8.58009208879121	8.5476289348711	8.30481830732873	8.83069382042144	8.89791320149882	8.82614844050014	8.63982827671583	8.44754065212515	8.55810724319433	8.36455466243807	8.29133923080035	8.44757159006469	8.83219209541412	8.73643547384176	8.88484316410104
SPCS2	201240_s_at	12.8325971214947	12.7604479253707	12.630611937994	12.996217193404	12.9671172015257	12.8817659537482	12.9702444715	12.8447836176355	12.8846826475325	13.2104031693354	13.3096402706107	13.1681669018504	13.0364416877871	13.0307345584242	12.9935344820968	13.3751738290227	13.4197704865207	13.2800741426776	13.2776659849526	13.1971053089745	13.2417634559918
SPCS2P4///SPCS2	201239_s_at	12.1186593567427	12.0225901998129	11.748335687361	12.2238242651778	12.1352973660826	11.93798831712	12.1631767570994	12.0349904315361	12.0030194669335	12.1707439511153	12.3006749963819	12.2749393942587	12.177203932721	12.1036073499744	12.2014287847565	12.7013668779891	12.7096829027824	12.6473205680638	12.3840980469677	12.3697238000995	12.2788004161468
SPDEF	213441_x_at,213442_x_at,214403_x_at,214404_x_at	5.64715720114497	5.55860478347066	5.53165998354041	5.51474276914974	5.56943649944725	5.48346082964213	5.53192577651385	5.5962309234701	5.54448506838365	5.51569695987298	5.44723660187551	5.47658870772745	5.45306820355708	5.7188927328553	5.4405009494857	5.74493974538755	5.45711643521983	5.65670919984964	5.57715815870462	5.59077467432379	5.51913908362899
SPECC1L	212480_at	8.41634919666643	8.30851894847784	8.54894339560138	8.6833247261461	8.72002100555042	8.68933750677658	8.78495852645749	8.73021041817112	8.82035348029602	9.10273973096944	8.76524054813102	8.7454887251858	8.79129262562167	9.00364027135176	8.85404522306554	8.27562286383666	8.41121128052373	8.60264449804889	9.12638904535505	8.9278398870308	8.81049076925717
SPEF1	216119_s_at	5.07708118366072	5.13346574350804	4.92836985870325	4.93427060208703	4.94400701250116	5.09633347741163	4.94408188657695	4.96225883713743	5.04021577203565	5.02164505398701	5.05457456810199	4.96004785052435	5.01243661795779	5.04070488782324	5.19816706718429	5.02940038371908	5.00482002096555	5.08535212025053	5.21544260077275	5.11696047738081	5.10539846746255
SPEG	205265_s_at	6.1092026918448	6.3624130866873	6.61752021550515	6.47896272136291	6.51898067552873	6.28779217476746	5.86881489979937	6.5057789353868	6.46901123123866	6.35186652018316	6.36447537434851	6.4652255430851	6.31314353528239	6.29973913155301	6.03707612929323	6.89723112427687	6.89822825836987	7.0564367717661	6.38080453549528	6.34366552875341	6.24598195839249
SPEN	201996_s_at,201997_s_at	8.18318131652768	7.93867943480346	8.0900787463281	8.19695618483603	7.97607554508018	8.44321555464449	7.9552487641841	7.98043454690348	8.29705507029094	8.30466079943045	8.15118736995504	8.52072355946893	8.13979460488487	8.24903946313599	7.9780753591834	8.32391264079522	8.45560056404439	8.64224930102077	8.27634157867666	8.2897659528674	8.16835287113042
SPG11	203513_at	8.74355242341537	8.86741961586365	9.10141424833536	8.99206751043639	9.0479867110564	9.02670923833439	9.03063910741679	8.92829245299247	9.08478938262965	9.57995876524148	9.35211530907215	9.4247594910365	8.6475007669543	8.75114736718641	8.70605686392839	9.16594659308917	9.02357449663966	9.16350976454054	8.93877412690422	8.96736384646807	8.97294496286363
