Gene	Probe_ID	MCF7__biological_rep1	MCF7__biological_rep2	MCF7__biological_rep3	MCF7_silenced_Estrogen_receptor__biological_rep1	MCF7_silenced_Estrogen_receptor__biological_rep2	MCF7_silenced_Estrogen_receptor__biological_rep3
NXPH1	232377_at	4.33654	4.48499	4.6158	4.13576	4.09774	4.16803
NXPH2	1559355_at,230883_at,232334_at	4.35823	4.40177333333333	4.42959666666667	4.30978	4.34200333333333	4.34615
NXPH3	221991_at,228210_at	6.88519	6.752375	6.79905	6.345	6.47914	6.578565
NXPH4	221967_at	6.75857	6.78322	6.7954	6.37801	6.68031	6.56917
NXT1	218708_at	10.298	10.1648	10.2503	9.81112	9.62204	9.76734
NXT2	209628_at,209629_s_at	9.26074	9.28656	9.230025	9.227345	9.21513	9.2159
NYAP1	1553288_a_at	5.43071	5.32141	5.22192	5.12472	5.20498	5.18097
NYAP2	233916_at	4.26458	4.37126	4.39755	4.18954	4.06837	4.24613
NYNRIN	220911_s_at	5.72414	5.77073	5.75472	5.19877	5.43825	5.29198
NYX	221684_s_at,234496_x_at	5.853435	5.636895	5.759805	5.63238	5.58475	5.58286
OAF	225510_at,228939_at	6.187905	6.100075	6.15797	7.010325	7.573855	7.41218
OARD1	213322_at,238860_at	9.003165	9.053665	9.08335	9.64252	9.32458	9.40939
OAS1	202869_at,205552_s_at	5.91511	5.93574	5.88725	4.860935	4.790315	4.85741
OAS2	204972_at,206553_at,228607_at	5.26316333333333	5.06108333333333	5.21788	5.19323	5.32804	5.24140666666667
OAS3	218400_at,232666_at	7.32363	7.185505	7.310475	7.12879	7.018835	6.898605
OASL	205660_at,210797_s_at	5.856785	5.822245	5.6041	7.240815	7.28173	7.22328
OAT	201599_at	12.0403	11.9967	12.0601	12.5177	12.5649	12.5657
OAZ1	200077_s_at,215952_s_at	13.07755	13.17515	13.1169	13.5544	13.43125	13.42875
OAZ2	201364_s_at,201365_at	8.876515	8.945025	8.87011	9.23022	9.45624	9.260375
OAZ3	213863_s_at,222075_s_at	6.60232	6.62229	6.47612	5.27494	5.27305	5.291025
OBFC1	219100_at,228781_at	7.55066	7.418365	7.414125	7.69565	7.590925	7.49286
OBP2A	220848_x_at,234436_x_at,234841_x_at	5.55509333333333	5.57664666666667	5.72974	5.69531333333333	5.65196	5.64403666666667
OBP2A///OBP2B	220959_s_at,233860_s_at	4.68738	4.59817	4.872135	4.714395	4.747785	4.77665
OBP2B	234722_x_at	4.84408	4.74473	4.81694	4.35225	4.65652	4.70555
OBSCN	220427_at,229854_at,233029_at	5.76866666666667	5.87055666666667	5.65561333333333	5.78185	5.69718666666667	5.68806
OBSCN///DKFZP434C153	216085_at	4.72147	4.43744	4.61256	4.71761	4.80205	4.87064
